Epoch: 01, Loss: 0.2325,  	Time:  0:00:05.271253
Epoch: 02, Loss: 0.1750,  	Time:  0:00:02.107988
Epoch: 03, Loss: 0.1271,  	Time:  0:00:02.091591
Epoch: 04, Loss: 0.1029,  	Time:  0:00:02.031015
Epoch: 05, Loss: 0.0883,  	Time:  0:00:02.017889
Epoch: 06, Loss: 0.0749,  	Time:  0:00:02.047309
Epoch: 07, Loss: 0.0652,  	Time:  0:00:02.056982
Epoch: 08, Loss: 0.0575,  	Time:  0:00:02.142843
Epoch: 09, Loss: 0.0543,  	Time:  0:00:02.102980
Epoch: 10, Loss: 0.0527,  	Time:  0:00:02.125006
Epoch: 11, Loss: 0.0475,  	Time:  0:00:02.043207
Epoch: 12, Loss: 0.0452,  	Time:  0:00:02.020999
Epoch: 13, Loss: 0.0419,  	Time:  0:00:02.169011
Epoch: 14, Loss: 0.0416,  	Time:  0:00:02.079331
Epoch: 15, Loss: 0.0397,  	Time:  0:00:02.009998
Epoch: 16, Loss: 0.0387,  	Time:  0:00:02.096985
Epoch: 17, Loss: 0.0368,  	Time:  0:00:02.114734
Epoch: 18, Loss: 0.0367,  	Time:  0:00:02.060997
Epoch: 19, Loss: 0.0353,  	Time:  0:00:02.109867
Epoch: 20, Loss: 0.0339,  	Time:  0:00:02.118859
Epoch: 21, Loss: 0.0346,  	Time:  0:00:01.999991
Epoch: 22, Loss: 0.0328,  	Time:  0:00:02.041851
Epoch: 23, Loss: 0.0326,  	Time:  0:00:02.060603
Epoch: 24, Loss: 0.0321,  	Time:  0:00:02.036339
Epoch: 25, Loss: 0.0319,  	Time:  0:00:02.101994
Epoch: 26, Loss: 0.0314,  	Time:  0:00:02.104320
Epoch: 27, Loss: 0.0304,  	Time:  0:00:02.020029
Epoch: 28, Loss: 0.0301,  	Time:  0:00:02.085992
Epoch: 29, Loss: 0.0303,  	Time:  0:00:02.015994
Epoch: 30, Loss: 0.0302,  	Time:  0:00:02.022166
Epoch: 31, Loss: 0.0303,  	Time:  0:00:02.002009
Epoch: 32, Loss: 0.0295,  	Time:  0:00:02.127895
Epoch: 33, Loss: 0.0294,  	Time:  0:00:02.007992
Epoch: 34, Loss: 0.0288,  	Time:  0:00:02.024993
Epoch: 35, Loss: 0.0292,  	Time:  0:00:01.994912
Epoch: 36, Loss: 0.0277,  	Time:  0:00:02.072352
Epoch: 37, Loss: 0.0283,  	Time:  0:00:01.993067
Epoch: 38, Loss: 0.0276,  	Time:  0:00:02.115990
Epoch: 39, Loss: 0.0282,  	Time:  0:00:02.029898
Epoch: 40, Loss: 0.0278,  	Time:  0:00:02.058976
Epoch: 41, Loss: 0.0272,  	Time:  0:00:02.052023
Epoch: 42, Loss: 0.0272,  	Time:  0:00:02.056000
Epoch: 43, Loss: 0.0276,  	Time:  0:00:02.140879
Epoch: 44, Loss: 0.0265,  	Time:  0:00:02.119293
Epoch: 45, Loss: 0.0274,  	Time:  0:00:02.069880
Epoch: 46, Loss: 0.0271,  	Time:  0:00:02.110995
Epoch: 47, Loss: 0.0264,  	Time:  0:00:02.024027
Epoch: 48, Loss: 0.0262,  	Time:  0:00:02.119852
Epoch: 49, Loss: 0.0271,  	Time:  0:00:02.044005
Epoch: 50, Loss: 0.0267,  	Time:  0:00:02.089728
